id_client,type_client,secteur_activite,taille_entreprise,statut_juridique,annee_creation,anciennete_relation_ifc,score_risque_pays,diversification_geographique,exposure_externe,pays_implantation,region,ville,zone_urbaine_rurale,indice_developpement_local,accessibilite_infrastructure,risque_climatique_local,risque_securitaire,dynamisme_economique_local,distance_centre_economique,exposition_risque_naturel,distance_hub_logistique,indice_conflit_local,chiffre_affaires,croissance_ca,stabilite_revenus,diversification_revenus,ratio_revenus_ifs,marge_brute,marge_operationnelle,ebitda,resultat_net,roe,roa,marge_net_operating,total_actifs,total_passifs,ratio_endettement,ratio_autonomie_financiere,levier_financier,ratio_liquidite_generale,ratio_liquidite_immediate,fonds_roulement,BFR,tresorerie_nette,liquidite_immediate_ajustee,encours_dette,service_dette,DSCR,capacite_endettement,maturite_dette,montant_moyen_transaction,frequence_transactions,revenus_recurrents,charges_recurrentes,solde_moyen,volatilite_solde,incidents_paiement,retards_paiement,nb_incidents,duree_relation_banque,utilisation_decouvert,taux_transactions_digitales,score_maturite_digitale,adoption_mobile_banking,score_innovation,risque_sectoriel,cyclicite_secteur,concurrence_marche,exposition_choc_eco,type_intervention_ifc,exposition_ifc,part_ifc_dans_financement,categorie_esg_ifc,impact_environnemental,gestion_risques_env,plan_reduction_carbone,impact_social,respect_normes_travail,inclusion_genre,taux_femmes_cadres,politique_sante_securite,qualite_management,transparence_financiere,structure_conseil,risque_corruption,code_ethique,score_gouvernance_ifc,stabilite_pays,croissance_pays,inflation,taux_change_risque,volatilite_devise,croissance_local,probabilite_defaut,perte_en_cas_defaut,exposition_defaut,score_credit,classe_risque
11,Institution_financiere,Infrastructure,Grande,SARL,2014,10,0.25,6,0.17,Turkey,Nord,New Delhi,Urbain,0.32,0.51,0.17,0.46,0.42,12,0.26,150,0.12,1009755,0.02,0.74,5,0.26,0.43,0.36,68032,406767,0.28,0.11,0.32,1598921,8813517,1.86,0.81,0.29,0.7,1.12,300224,420112,441993,123835,2105217,5051,1.07,0.72,2,5337,89,77516,84742,70941,0.79,0,1,2,5,0.4,0.64,0.68,0.58,0.31,0.16,0.24,0.37,0.32,Pret,4585652,0.37,B,0.38,0.08,0,0.12,0.22,0.41,0.16,0.26,0.39,0.22,0.05,0.24,0,0.08,0.3,0.003,0.032,0.22,0.12,0.06,0.29,0.37,4139203,0.44000000000000006,Moyen
12,Fonds,Industrie,TPE,SARL,1989,6,0.34,7,0.16,Senegal,Nord,Porto-Novo,Rural,0.97,0.12,0.4,0.27,0.85,1,0.46,10,0.34,891811,-0.07,0.74,5,0.1,0.19,0.16,785393,-26469,0.25,0.05,0.14,911082,4123560,2.56,0.26,3.97,1.22,1.04,419038,91500,450414,77118,4368759,92255,2.86,0.25,4,2092,20,70804,30457,477678,0.7,1,3,3,2,0.18,0.32,0.44,0.4,0.42,0.59,0.45,0.24,0.23,PPP,716551,0.07,FI,0.09,0.12,0,0.2,0.24,0.22,0.42,0.33,0.09,0.25,0.11,0.38,0,0.41,0.25,0.031,0.076,0.19,0.34,0.05,0.51,0.76,2911416,0.601,Moyen
13,PPP,Infrastructure,TPE,SARL,1982,9,0.44,11,0.15,Serbia,Ouest,Mexico City,Urbain,0.88,0.23,0.1,0.33,0.45,11,0.22,84,0.19,9776485,0.1,0.5,3,0.57,0.29,0.51,1106472,217133,-0.05,0.11,0.57,3409509,13160256,2.37,0.64,0.62,2.14,1.89,361766,327385,636106,194303,4217970,38834,1.57,0.76,5,6572,55,46883,63683,254371,0.83,0,1,2,2,0.23,0.42,0.4,0.4,0.66,0.29,0.1,0.07,0.12,Pret,689538,0.26,C,0.11,0.53,1,0.38,0.32,0.63,0.64,0.49,0.13,0.38,0.29,0.38,1,0.32,0.37,0.023,0.072,0.36,0.25,0.03,0.11,0.2,1623988,0.251,Faible
14,Secteur_public,Agriculture,Grande,Public,1991,16,0.26,8,0.1,China,Est,Yamoussoukro,Urbain,0.67,0.63,0.2,0.49,0.91,51,0.35,148,0.45,8630845,0.09,0.57,2,0.08,0.24,0.34,808490,417838,0.25,-0.02,0.49,355335,5388781,0.99,0.35,1.0,2.07,1.79,209127,71650,240610,33784,3872499,352467,0.72,0.44,6,8969,87,54857,17616,240126,0.82,1,1,2,11,0.36,0.91,0.16,0.42,0.62,0.24,0.23,0.04,0.43,Pret,2857556,0.19,B,0.05,0.21,1,0.17,0.34,0.17,0.3,0.53,0.18,0.31,0.61,0.17,1,0.41,0.21,0.025,0.031,0.14,0.34,0.05,0.35,0.31,4214419,0.386,Faible
15,Projet_SPV,Infrastructure,PME,SARL,2010,14,0.26,13,0.06,Senegal,Nord,New Delhi,Urbain,0.64,0.41,0.07,0.03,0.29,66,0.11,51,0.23,7671526,0.02,0.31,1,0.2,0.13,0.27,51690,-21131,-0.05,-0.06,0.16,17188061,4886115,0.42,0.4,0.59,1.33,1.18,93406,284075,533760,208806,4167921,290330,2.18,0.51,9,4487,11,81762,40771,91920,0.24,1,0,1,7,0.18,0.33,0.34,0.72,0.6,0.29,0.48,0.39,0.22,Equity,3299851,0.37,A,0.35,0.51,1,0.52,0.15,0.52,0.18,0.31,0.25,0.4,0.31,0.27,0,0.08,0.11,0.043,0.04,0.05,0.21,0.01,0.34,0.64,2783823,0.546,Moyen
16,Institution_financiere,Agriculture,TPE,Public,2008,17,0.15,6,0.13,Bulgaria,Nord,Dhaka,Urbain,0.41,0.65,0.33,0.19,0.23,45,0.2,91,0.11,1430652,0.12,0.37,2,0.26,0.27,0.43,1100069,703913,-0.03,0.18,0.37,15858706,10289262,1.86,0.78,4.18,2.72,0.26,359306,180900,467976,147760,19237,239592,2.81,0.77,6,9280,68,86826,47703,443940,0.86,0,2,2,1,0.15,0.17,0.16,0.55,0.76,0.26,0.44,0.14,0.06,Equity,1308709,0.34,FI,0.39,0.74,1,0.25,0.23,0.25,0.42,0.47,0.28,0.4,0.21,0.65,0,0.43,0.31,0.01,0.054,0.08,0.21,0.05,0.13,0.25,183878,0.254,Faible
17,PPP,Tech,TPE,SAS,1984,18,0.11,11,0.37,Pakistan,Ouest,Astana,Rural,0.79,0.54,0.57,0.07,0.7,99,0.49,102,0.48,3798889,0.03,0.5,9,0.57,0.59,0.09,88401,491608,0.25,0.01,0.23,2643117,1858272,0.2,0.61,4.42,1.15,1.52,499961,156840,911164,314116,4237318,265283,0.9,0.63,7,2794,62,30473,36716,182898,0.67,1,2,3,7,0.1,0.63,0.61,0.92,0.9,0.25,0.38,0.22,0.05,Equity,4844985,0.2,A,0.19,0.65,0,0.53,0.15,0.44,0.26,0.29,0.28,0.38,0.34,0.33,1,0.23,0.15,0.042,0.015,0.11,0.33,0.01,0.14,0.5,4873231,0.374,Faible
18,PPP,Education,PME,Public,2004,1,0.39,6,0.24,Turkey,Ouest,Taskhkent,Urbain,0.56,0.47,0.09,0.4,0.62,72,0.13,10,0.38,3113914,0.06,0.5,5,0.24,0.08,0.42,75839,778801,0.19,-0.07,0.59,3760280,9261094,2.46,0.16,4.89,1.2,0.35,240331,493161,60022,-42743,1414319,335840,1.89,0.71,8,9901,3,36860,8048,204969,0.84,1,2,1,7,0.21,0.55,0.93,0.75,0.42,0.43,0.2,0.13,0.39,PPP,72583,0.38,A,0.45,0.25,1,0.27,0.15,0.07,0.06,0.38,0.17,0.18,0.1,0.39,1,0.21,0.02,0.043,0.082,0.09,0.52,0.05,0.1,0.4,2327049,0.328,Faible
19,Projet_SPV,Finance,TPE,SAS,2020,3,0.4,11,0.62,India,Nord,Taskhkent,Rural,0.51,0.21,0.21,0.11,0.52,31,0.35,83,0.42,1431147,0.14,0.78,8,0.33,0.23,0.22,376710,555797,0.02,0.15,0.29,6138529,5334208,1.39,0.75,0.83,1.79,1.71,88664,322538,308303,188351,4598656,55380,2.24,0.6,3,5735,3,49034,62144,413302,0.86,0,2,5,14,0.64,0.77,0.32,0.56,0.63,0.38,0.13,0.22,0.4,PPP,3663187,0.27,A,0.59,0.41,1,0.24,0.47,0.33,0.26,0.21,0.27,0.1,0.22,0.33,0,0.45,0.37,0.039,0.062,0.13,0.11,0.02,0.1,0.24,4888427,0.232,Faible
20,Institution_financiere,Agriculture,PME,SARL,2010,2,0.27,6,0.17,Nigeria,Ouest,Accra,Rural,0.64,0.41,0.17,0.48,0.15,85,0.24,169,0.51,1870232,0.01,0.81,3,0.16,0.39,0.48,1408656,735909,-0.14,0.08,0.4,10860516,6711860,2.16,0.32,4.25,1.59,1.4,23783,182496,56466,377136,3826351,371263,0.8,0.9,7,7869,97,47690,32612,117449,0.64,1,2,2,11,0.23,0.63,0.09,0.58,0.59,0.12,0.25,0.37,0.62,Equity,119174,0.29,C,0.26,0.37,1,0.42,0.03,0.48,0.27,0.15,0.27,0.08,0.24,0.48,0,0.24,0.03,0.002,0.031,0.4,0.18,0.06,0.45,0.22,3658962,0.44300000000000006,Moyen
21,Secteur_public,Sante,PME,SAS,2000,6,0.3,5,0.36,Indonesia,Sud,Santiago,Urbain,0.81,0.46,0.19,0.15,0.05,53,0.34,40,0.24,1536020,0.2,0.26,5,0.43,0.18,0.46,49861,654086,0.03,0.08,0.18,4009137,6560978,0.53,0.92,2.91,1.71,1.08,95076,72661,-25213,79456,2579413,312086,1.45,0.25,1,5026,5,52945,99322,358475,0.6,0,0,2,16,0.29,0.53,0.35,0.63,0.52,0.64,0.5,0.27,0.17,Pret,171346,0.13,FI,0.52,0.26,1,0.23,0.47,0.29,0.37,0.05,0.48,0.23,0.22,0.33,1,0.12,0.17,0.013,0.086,0.15,0.49,0.07,0.22,0.77,4677054,0.517,Moyen
22,Entreprise,Infrastructure,PME,Public,1999,17,0.24,8,0.12,Ukraine,Ouest,Taskhkent,Rural,0.46,0.6,0.16,0.46,0.29,45,0.12,5,0.44,6147513,-0.03,0.66,7,0.54,0.17,0.09,1038071,302656,0.22,-0.06,0.54,5390344,13440706,0.5,0.26,4.51,2.11,1.9,344418,51396,426370,-32111,1900057,134882,2.11,0.28,9,7676,23,57472,71026,149300,0.17,1,0,1,1,0.06,0.58,0.42,0.48,0.73,0.67,0.22,0.39,0.32,Pret,3893052,0.06,B,0.12,0.21,0,0.24,0.09,0.15,0.26,0.25,0.04,0.12,0.11,0.43,1,0.27,0.17,0.003,0.073,0.18,0.43,0.03,0.5,0.83,2147773,0.645,Moyen
23,Institution_financiere,Agriculture,Grande,SA,2018,9,0.48,13,0.68,Vietnam,Sud,Islamabad,Rural,0.29,0.35,0.19,0.43,0.54,67,0.15,43,0.46,1348971,0.13,0.79,2,0.43,0.03,0.22,620825,853861,0.1,0.13,0.12,3155975,7415077,0.62,0.92,1.46,2.88,1.33,430394,115474,-30707,498238,2511846,209906,2.82,0.81,4,5936,67,50270,60506,52602,0.83,0,2,3,2,0.55,0.05,0.36,0.59,0.71,0.22,0.06,0.11,0.25,Equity,4268535,0.3,FI,0.12,0.37,0,0.27,0.43,0.41,0.23,0.3,0.39,0.27,0.09,0.08,1,0.32,0.16,0.038,0.041,0.1,0.13,0.03,0.45,0.74,4660234,0.583,Moyen
24,Projet_SPV,Sante,Grande,SAS,2001,6,0.32,2,0.22,Brazil,Nord,Hanoi,Rural,0.07,0.73,0.12,0.32,0.79,89,0.39,195,0.39,1876254,0.06,0.28,3,0.15,0.09,0.17,334855,540251,-0.18,-0.04,0.13,14469088,3391450,2.32,0.28,1.39,2.06,0.46,-27566,345436,217945,135730,1823443,271738,1.19,0.06,4,7449,13,52969,4595,132562,0.45,0,1,2,1,0.27,0.27,0.56,0.6,0.19,0.02,0.68,0.16,0.36,PPP,2882996,0.2,FI,0.32,0.28,0,0.33,0.11,0.2,0.04,0.37,0.29,0.39,0.12,0.11,1,0.19,0.05,0.068,0.067,0.35,0.27,0.02,0.05,0.48,1852700,0.331,Faible
25,PPP,Education,Grande,SAS,1983,7,0.45,7,0.1,Colombia,Est,New Delhi,Urbain,0.22,0.85,0.39,0.63,0.15,41,0.2,152,0.28,7115318,0.07,0.36,3,0.21,0.47,0.53,1810971,216736,0.0,-0.09,0.41,18297379,13773394,0.82,0.81,4.03,1.21,0.53,473416,-43115,491579,424104,4939125,189246,0.62,0.31,1,2492,32,64173,67476,431158,0.66,1,3,1,19,0.13,0.33,0.74,0.49,0.5,0.11,0.53,0.21,0.49,PPP,2334051,0.03,FI,0.42,0.42,1,0.51,0.05,0.08,0.63,0.26,0.26,0.16,0.26,0.33,0,0.12,0.17,0.033,0.068,0.38,0.16,0.03,0.27,0.57,1991104,0.482,Moyen
26,Secteur_public,Education,PME,SARL,1992,5,0.12,4,0.22,Romania,Sud,Dakar,Rural,0.65,0.3,0.07,0.07,0.54,28,0.02,118,0.16,648396,0.13,0.07,9,0.16,0.21,0.08,1977012,955966,0.15,-0.05,0.49,7945806,2577148,2.84,0.25,1.24,2.97,0.35,432995,270755,501751,146755,1797726,308100,2.22,0.92,8,9765,9,11733,85003,82648,0.69,1,0,1,11,0.19,0.75,0.57,0.74,0.8,0.54,0.2,0.34,0.27,PPP,1478376,0.23,A,0.36,0.17,0,0.36,0.6,0.6,0.46,0.1,0.71,0.2,0.13,0.57,1,0.18,0.22,0.002,0.058,0.25,0.17,0.04,0.12,0.82,1915530,0.47,Moyen
27,Institution_financiere,Infrastructure,PME,Public,2021,0,0.42,1,0.29,Vietnam,Est,Astana,Urbain,0.33,0.87,0.39,0.52,0.18,62,0.17,90,0.3,3660957,0.11,0.49,1,0.59,0.23,0.59,908349,581642,0.24,0.11,0.52,7964236,14599306,0.21,0.98,0.36,2.65,1.77,435315,298589,35823,-18782,1531674,303941,1.53,0.34,9,2558,69,54126,58279,5653,0.54,1,1,3,9,0.23,0.45,0.71,0.38,0.77,0.24,0.31,0.49,0.38,Pret,2170395,0.04,A,0.49,0.12,0,0.03,0.16,0.02,0.31,0.5,0.42,0.29,0.17,0.14,1,0.37,0.24,0.05,0.054,0.24,0.29,0.04,0.17,0.7,1030251,0.421,Moyen
28,Entreprise,Industrie,Grande,SAS,1999,3,0.15,13,0.42,Romania,Nord,Accra,Urbain,0.62,0.62,0.09,0.18,0.5,92,0.38,159,0.21,4119698,-0.06,0.18,9,0.27,0.21,0.42,1669664,962386,0.29,0.14,0.4,936037,3287943,1.92,0.89,2.2,1.41,0.57,342036,-30219,911810,78602,1484938,280735,2.79,0.93,5,8869,38,69150,37640,112848,0.31,0,2,1,13,0.25,0.12,0.48,0.59,0.52,0.19,0.19,0.22,0.25,Pret,2180476,0.28,B,0.15,0.04,1,0.38,0.47,0.68,0.14,0.38,0.26,0.11,0.44,0.27,0,0.13,0.77,-0.006,-0.011,0.61,0.46,0.03,0.14,0.71,246158,0.4570000000000001,Moyen
29,Entreprise,Infrastructure,TPE,SAS,1992,13,0.2,5,0.4,Chile,Ouest,Sofia,Urbain,0.69,0.36,0.06,0.27,0.91,2,0.19,59,0.16,3558169,-0.0,0.73,1,0.45,0.15,0.55,718994,851330,0.22,-0.03,0.47,3644506,4201664,2.39,0.16,3.02,1.62,1.91,249942,285225,852608,60366,4410816,10170,1.07,0.84,8,8625,48,23115,89710,247889,0.61,1,0,3,19,0.3,0.27,0.28,0.12,0.77,0.29,0.24,0.28,0.1,PPP,1384921,0.16,B,0.27,0.34,1,0.07,0.43,0.15,0.32,0.17,0.58,0.14,0.08,0.1,0,0.17,0.31,0.031,0.084,0.42,0.54,0.02,0.38,0.57,324250,0.527,Moyen
30,Fonds,Tech,PME,SAS,1996,16,0.33,3,0.03,South Africa,Sud,Ankara,Rural,0.65,0.25,0.53,0.26,0.37,72,0.45,118,0.23,9243972,0.02,0.46,7,0.1,0.17,0.51,1837156,580017,0.24,-0.01,0.25,176447,12259895,1.65,0.6,3.53,0.87,0.91,112742,-5330,358899,245871,3041228,285381,0.69,0.83,4,7759,96,49363,85353,230600,0.4,1,1,3,15,0.17,0.71,0.73,0.17,0.61,0.25,0.08,0.54,0.47,Pret,1452685,0.55,B,0.38,0.39,0,0.34,0.66,0.73,0.11,0.23,0.43,0.33,0.24,0.16,1,0.54,0.63,0.031,0.095,0.07,0.59,0.02,0.27,0.7,2356824,0.43699999999999994,Moyen
31,Fonds,Agriculture,TPE,SAS,2015,19,0.49,4,0.75,Côte d’Ivoire,Sud,Cairo,Rural,0.21,0.79,0.28,0.28,0.21,65,0.24,116,0.04,7575861,0.04,0.89,4,0.29,0.09,0.33,915035,864091,-0.09,-0.05,0.47,11165253,3388294,0.03,0.25,0.71,1.71,1.73,179054,243554,-98907,203084,4513891,52265,2.21,0.11,4,3269,96,13341,90347,361208,0.61,0,1,3,1,0.58,0.63,0.25,0.45,0.98,0.31,0.08,0.62,0.66,Equity,422648,0.05,B,0.04,0.63,0,0.11,0.14,0.14,0.52,0.57,0.13,0.66,0.13,0.63,1,0.41,0.4,0.044,0.055,0.15,0.15,0.02,0.47,0.84,1841975,0.605,Moyen
32,Projet_SPV,Finance,TPE,SA,2012,17,0.27,7,0.12,India,Nord,Bangkok,Rural,0.33,0.18,0.35,0.2,0.26,21,0.07,195,0.15,7890965,0.12,0.39,8,0.26,0.17,0.7,325578,972141,0.23,0.04,0.69,1704846,13646544,2.79,0.28,2.57,1.51,0.88,152356,389661,601785,-30524,1150719,158010,2.86,0.03,2,3449,63,9188,34490,322601,0.7,0,3,3,7,0.17,0.53,0.57,0.6,0.42,0.65,0.14,0.37,0.05,PPP,2709100,0.27,C,0.1,0.27,0,0.13,0.42,0.28,0.19,0.37,0.16,0.11,0.21,0.29,1,0.29,0.07,0.026,0.087,0.31,0.08,0.03,0.4,0.49,2814944,0.489,Moyen
33,Institution_financiere,Industrie,PME,Public,1980,10,0.19,5,0.32,Bulgaria,Nord,Sofia,Urbain,0.9,0.55,0.41,0.21,0.45,15,0.41,191,0.16,6339299,-0.1,0.39,1,0.33,0.24,0.34,31231,487276,0.26,-0.03,0.16,11846253,4548630,1.87,0.77,1.67,2.62,1.92,408755,-29774,494143,476295,1698106,78216,1.9,0.86,9,6342,23,80782,15532,375789,0.55,0,2,3,14,0.55,0.84,0.06,0.02,0.11,0.23,0.39,0.08,0.33,PPP,4171922,0.16,A,0.32,0.56,1,0.54,0.19,0.28,0.43,0.18,0.6,0.24,0.19,0.23,0,0.15,0.08,0.017,0.02,0.19,0.28,0.06,0.12,0.33,1750018,0.329,Faible
34,Institution_financiere,Infrastructure,PME,SARL,1994,13,0.2,14,0.57,Bulgaria,Ouest,Bangkok,Rural,0.85,0.52,0.04,0.12,0.29,55,0.71,118,0.3,7063290,0.11,0.22,1,0.51,0.28,0.33,1679786,826112,0.12,0.2,0.2,288060,4632532,2.9,0.07,2.24,1.24,1.57,86878,-3150,840949,110391,3232697,119231,1.68,0.71,4,8245,12,34541,50772,181553,0.32,0,1,0,18,0.37,0.72,0.39,0.74,0.77,0.34,0.05,0.57,0.09,Pret,942195,0.54,B,0.17,0.13,1,0.07,0.51,0.4,0.24,0.09,0.06,0.04,0.44,0.56,1,0.13,0.39,0.013,0.05,0.19,0.59,0.03,0.31,0.51,1100969,0.482,Moyen
